Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness,UUID,sha256Hash
105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir,female,"hair: milk hair weavon, strength: sings beautifully, weakness: does not know how to cook",281f5bd7-5282-458b-9811-e369980e7dee,fbd413b083351c3b7d8b886df8b99e54bbba6eb3327b875760f07acf484af5bb
106,nonso-the-igbogirl,nonso the igbogirl,Nonso is an Igbo girl that loves money,female,"hair: deep brown packed up, strength: a core traditional igbo girl, weakness: materialistic",5cfa76df-8376-4505-af12-78af24f108d6,468a607e5c6776a9a86be44ee3f9d70485cf30a7182538f4918e72bf6e9b00d1
107,shade-olori,shade olori,Shade loves soft life and makeup,female,"hair: deep brown hair, strength: beautiful dark skinned, weakness: does not know how to cook",1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,998a839022a6b6cda71672b8489f94d590a5d52229bc0e03548e3c07fda7d7b6
108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics,male,"hair: bald, strength: devoted muslim teacher, weakness: lack of good grammer",d96a93e7-17a4-4efe-b09b-02185cc81ce8,f1fb6adb425f01823ca3c264552a0544305f15311b20890244e0986cd6d78a08
109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events,male,"hair: red cap man, strength: has taste for good music. weakness: dosent play english songs",030f665d-2cd7-4376-aef5-4030dad9f2d6,7eae571325db0a8f05149439bcd9f94187c055146ad054881667418f6d80a2fd
110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a youruba demon that breaks hearts,male,"hair: bald, strength: good command of English, weakness: loves women alot",e270e278-a9b5-408d-b527-d518239a997b,e4da982d7b8b01666a9283f20760174a15bc1bcff3449527e6f54190c085d9e8
111,nkechi-the-actress,nkechi the actress,Nkechi is an internation actress that acts in hollywood,female,"hair: dred purple, strength: good actress, weakness: rarely appreciates",34b1136d-00b1-4f29-8a03-5b02291d47d5,200e58503946d557b741648ca216039692441841a377f5c8254719df0b12d0db
112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam that changes money,male,"hair: milk hair weavon, strength: sings beautifully, weakness: does not know how to greet",592eff9f-93b2-4452-a2ed-5d44ebc969db,a6f26f1a6afb3af37151f1d380d644ecd8fd8c413ebd6a37d4df08d32b4f1011
113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty,female,"hair: brown bob marley, strength: very beautiful, weakness: insultive",d9477612-ad63-408e-8d12-24679c647b32,e7c9c20b40a562fcec948374d7f9f47de042042fd9cad93329fc40037e0d095b
114,tunde-the-boss,tunde the boss,Tunde is a boss that orders her helps around,male,"hair: yoruba cap, strength: traditional man, waekness: dosent speak english well",7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,5b809287df58d5edd460ab00b2630450b18de8878a9c8f15411adf1810e53cfb
115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a baber that does celebrity haircuts,male,"hair: brown punk, strength: strong physically, weakness: drugs and gambing",152758f3-9414-45a2-a809-95cb05a3de13,3311877cf519e46712aa84e5a707c1dc5681f68f8bb9033c09b8dd14d6c6a3cb
116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is a very hyper that she hypes in the clubs,female,"hair: brown curly wig, strength: cheerful giver, weakness: abusive lady",c7726e84-3c5c-4e66-8677-cbfb5c9ee850,0b905b6ec2e39651787a25c8af86c7cf5178b7ac248bd94b06b4f192e63f25b2
117,kemi-foodie,kemi foodie,Kemi loves food but cannot cook,female,"hair: black hair covered partly with scarf, strength: sawag, weakness: cant cook",3116cb6f-14c4-4d5a-af57-54253b72a309,01fc5193f8c6c6bd3c98d3e045846bfb6fe5a254a717f3cc8250b537351e41a7
118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths,female,"hair: brown curly wig, strength: understanding and petite, weakness: lack of personal communication",a14df1c1-7a5a-4a33-8780-0fb01c593da6,6cf8d576a79c2a66187848f5b7cf366e24b1345ae8d6b0fb6fcd2eafdf952cbe
119,kayode-the-baller,kayode the baller,Kayode loves life and lives it,male,"hair: bald, strength: swag and life of te party, weakness: dosent have a job",fe17bfdc-c251-4654-8313-1ab793e11748,20bac64c77bb5f383473e1573b1c76ec9fbe66fb57ea368bd3922fb1921a8910
120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is,male,"hair: bald, strength: swaggy and loves fashion, weakness: lack of cordination",df295be1-1509-406e-a263-28a5dee0abca,db55afcb70320cef00e872b0bcc7e71b3f42b9d91cd4af1db600a7e59ddc59e2
,,,,,,,
TEAM BRAINBOX,,,,,,,
121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",7ebde325-8efc-4997-811a-b5686269929e,021c3a76545a41e53a83ebbd0fd1210c123850bb928c9a5948f1dec5f1b65a74
122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is so hilarious ,Male,Cloth:ankara ,c136a120-a339-4080-96ca-1c93845c5848,2ce01805333f4dbc8b63e070cce6f796b8610196f841d2ed25e35a0a169eadf5
123,yakubu-village-chief,yakubu village chief,Yakubu is the village chieftain,Male,Gap tooth ,5b0c0d26-d204-4264-b579-081ff9df935b,9d09b8ff09682fa8ff5593bfdceaeb3ab33853e188e550aba44e23d757ce9616
124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking pipe,Male,Pleading eyes and a pipe ,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,8beb935817363c44a54562b6e63851693044afbda5c0f6038ec549e6086ddad5
125,johnathan-good-leader,johnathan good leader,A very progressive young man with positivity ,Male,Agbada attire,241e3713-4ce3-48d0-827f-b282ae2db6c4,94dba6b9106118a287511ece82d3cd159029a3223ea8d86972180cb7628b9a51
126,johnathan-genz-kid,johnathan genz kid,"A child of the moment , all fun and cruise ",Male,Hair; high ponk,90c0ae09-a35f-42ad-b93c-dcf30169acd9,aa7b7e35210df864c03557ef03b9b6de64a2eae42b7a11f2fe4b262ecc893ab8
127,eddy-the-community,eddy the community,Man of the people ,Male,Two teeth and kaftan attire ,5cabf9d9-882b-459e-9253-8c07eb045e2d,396b3a29676ee866b14dbc8e9a59749d343132b4d85c74d769b0ab6f0afe70cb
128,olu-the-oba,olu the oba,The oba of Ofuk kingdom ,Male,Pleading face,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,84bc76a3c9d3b264f63a07c7aaa620cc8bc26e56f1aa74689c3eb54bca3c043c
129,edu-the-biggest-trader,edu the biggest trader,The biggest merchant in west coast ,Male,Blue eyes,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,30963c13be5d657755228d8a268ad642d4b0a862ab3b479529d9a521df1ead51
130,james-importer-and-exporter,james importer and exporter,Sole importer and exporter of spare parts in Africa ,Male,Blue eyes,22541251-022f-480c-8c1e-cf754dce16d6,806a0acd261c6764dc546b8639b6930df80d97f2e7de746c4bb807e01bd72d15
131,lanre-the-dreaded-guy,lanre the dreaded guy,The wayward tout,Male,Bandana head scarf,66a054cd-5541-4000-98aa-8f2e9892d880,aa96057082401905a27ca29474eeeb79814bd5786f6d99940d8e4d7bbd882fe8
132,olamide-the-street-boy,olamide the street boy,Friendly street gang,Male,Gold teeth,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,938106311c3095034fef03adf57d95fb00e5f1033be11b53a9ca571e4f261673
133,uche-peace-loving-man,uche peace loving man,A man of peace and discipline ,Male,Beard,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,eaf1cfb68e7590eba6ae08cd8788200d94d56e8689e76dd85285cb0e80cbf9d5
134,dave-the-tech-bro,dave the tech bro,Dave the web3 geng,Male,Beard,c0857b11-bf0e-46a4-9108-b8eb93d83e74,94de63813570d8a91c822892acd4102d0815f6f686048d8b14602ab4bf064b02
135,obi-the-biggest-humanitarian,obi the biggest humanitarian,The biggest helper during the pandemic ,Male,Gold teeth,201a408c-7a2e-42d9-a62c-0136c885c211,e1d844104e5aab61ed564dd94bd4c982ff0511fe4533e11e0e596ee57a95f0e7
136,precious-the-emotional-girl,precious the emotional girl,Soft hearted and sensitive precious ,Female,Brown hair colour ,b6a41ff1-51ce-42f7-9933-85d0a22ced68,93c4c97acf74c8e1b05e3af67f784762a6ad2ecc6eb3e11d511ea59f606e60e8
137,ella-serious-minded,ella serious minded,Ella a dedicated young lady ,Female,Purple hair colour ,04036447-f43e-4bfb-9503-f55c9064b14e,d311b01d2215a2e655ac71c329c45d8b4b5a90945fc4e2e033f139253a275448
138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with a priceless cute eyes,Female,Long hair ,5d12847b-6d71-4691-8337-2e6ef3e283b2,b4495ec2242da2266436982eba87317cfe9e5ea8292d27d3efc1b313b6617cc8
139,mary-with-hair,mary with hair,Mary with her beautiful Afro ,Female,Brown hair,98035e8b-6540-4464-8a3c-fdac9f07b168,5381ad453a491f26263b5275d2a8456d30bda0954dc92c87c59600bb7fda1cd3
140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum,Female,Black hair ,15309dc5-e483-4658-b503-db85ba2c1722,9dcb82aaab32a26a8c354421b6c4f4f26fd1a2ad6dc66034d17c2f8c9adecc79
,,,,,,,
TEAM PLUG,,,,,,,
141,viganem-the-drummer-girl,viganem the drummer girl,she loves jumping a fence to play drums after school,female,,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,f8dba97f34417b42e4af50f2ca37f1af99eea2bc3a97ace7cc6d5701923d52e1
142,lenusuka-the- big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi,female,,e564a43a-ef77-487d-a88e-749d20a09fd8,37c1aa3e9649e4466abcd4e16aa20b0df5a7093f60ff8d43a93b9e2a8a0aa3af
143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants,female,,6dc7e452-0626-4f4c-a28c-f5db3532e305,902a9521172e5655ead391dbce6d613e5d7aaefc56ae00500ac8a97f6b02749c
144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water,female,,221263d0-8775-49f8-bbf8-4b08b49e1482,50af075f036a6a4084bbffd764770c6498e074a8993a2c09df7dd1f66b550985
145,akinyim-the-agbaya,akinyim the agbaya,Always playing with small childrens and mostly small girls,male,,c1070dce-48a1-4ae8-b9a4-d070859a8377,f7708bbffd77bd33e27b41249ac94a845b01c883192d63a5587deba00535fca5
146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs,male,,c22489fe-574b-47f3-9667-c9c798b2d4df,7902fbea0429dfa097f2cf2dd80eb54f0c6cd5282035a1c000bbff6ed1ebb149
147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself,male,,1a91e778-d214-476b-a667-94e9ecb8b5ce,6af0dffdf9a9dc31bb64cbfcf9537cda4e16455a548583d423362903506b4c96
148,naserian-mr-fear-fear,naserian mr fear fear,Has never slept with anyone and can not kill cockroach,male,,8177cf38-8284-4eb4-b19c-04473bcb3b5e,1aaf82338de5bc668c8062b433d67a10000900a105a1332e45a9f65f3192ffe9
149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere,male,,0554bf35-f588-4009-aafc-ef875b878c29,2c184b683cd282aeb150c3af92e2dba8216e8bc6cb37bee5d24a0fa8dd4793fa
150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt,male,,33ba8e73-7949-4bc7-ba27-37ee1d573946,6d8f843e5c794058017432e68c0e05aceb183299dc838414cda322ec8564efbd
151,rehema-the- olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school,male,,1fb33783-4898-48cf-8a73-f81afc71e1a8,4e7840ea5a584ba7972e72b53a5d8925d93ce070898690a98aa1b8a9b8d02c6e
152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech,,,7ba909bd-19a1-454d-a86c-a45e85cb94a6,c387382d18154b3e59d38e8d6cd7bf1921062160f1cc1192a0ffb29f672aa91e
153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5,,,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,1e859a41b5c9b32c9f2967ff06975759cb9f6aae70b47f7716d8fd75a278c45b
154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly,,,36cd959f-d280-41f6-af76-765715c72527,dcfefbc6ea3984aad4f148a1d5ced2f094209dd9d3d0725677350828bc5e8a9c
155,ajobaru-a-serial-killer,ajobaru a serial killer,High end assasin who cannot survive a day without sex,,,9d262f55-73d7-4b95-9a82-42356dbb085c,c853cbd00a39928d0c9af13ac27c9c1d6de15cce984e253c3da413d6c42f105e
156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight,,,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,0b381fe3eddcf421ffca31a6a54b447fdbdea917f6691fdec0a74d77b1df0cdb
157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid,,,88106b92-da30-46ad-a3cc-d528683b9e33,79f0626e618b50012da28cb2f2d78c1b3ad9a65de5c06363a2ab37c959a17ba5
158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river,,,66a09968-cb92-4378-a588-49947f68c537,20f96f67e4b28adde77ec1ed5af74a6fa2a3f3f0fc646cc96cf61c52ff4a6d89
159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa,,,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,a039dbfd16acc83d6f4c3d07aca0c165135c6c3d0e163a87053614c48660e9fb
160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings,,,b07676a6-c611-410d-8426-46c9c525189a,e7bdfb43d8d6dcc29c79d37b8fc9127013b2021db84ca54890d46013229464b8
,,,,,,,
TEAM HEADLIGHT,,,,,,,
161,funmi-the-fashionist,funmi the fashionist,funmi enjoys fashion and she always takes opportunity to showcase her wardrobe,Female,"hair: black hair, eyes: none, skin color:light brown, teeth: none, clothing: aso oke, expression: cool, accessories: head tye and eye glasses, strength: fashion, weakness:men",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,beb9e0246d8f63c6c6b8af9cf568e3fcc54c347eebf3836482c31c32117b53af
162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows,Female,"hair: Purple shuku, eyes: none, skin color: light brown, teeth: none, clothing: adire top, expression: neutral, accessories: eye glasses, strength: caring, weakness: snake",ac721b71-cbc5-425c-851f-ee826973f0b9,2c7c7ccaae9e039fdb84bfbc429e64f21dbb97f8ef2bb37efc314cf064bd8dd3
163,bimpe-the-runzgirl,bimpe the runzgirl,"be careful with bimpe, she can run you strong thing",Female,"hair: Purple dreadlock, eyes: none, skin color: light brown, teeth: none, clothing: one arm ankara, expression: mischievious, accessories: eye glasses, strength: humanitarian, weakness: opposite sex",eaa7662f-6926-468a-9add-e791916ae42b,3bce6d76dd5f53168931673677bacc31f3e96cd73834e6673e2efe190cfd6d0d
164,sola-the-queen,sola the queen,sola is a princess. she's got the mind of a queen,Female,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",d5f23ad3-832a-4d3e-814e-e23f466d18a4,b0b0ceb9b8c1191dad530382f5a1ac21f794a64d7dee730631304647d9ceb29a
165,temi-afro-girl,temi afro girl,"temi is know for her funny haircut. this time, afro is up",Female,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,d6187206147be4c76771afd559112402e05e0ac804e462af2a930a14a9eea3cd
166,jonny-the-bravo,jonny the bravo,jonny is our local police. he breaks boys free,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",2b345988-b4b0-453b-ad39-efe1321bc8f1,16280e5c51aac53c4afe4df874b17f653e82c6f5746ec23b98d23cc41c5a5e31
167,tunde-the-bigman,tunde the bigman,tunde is the big man on the street. flamboyant life style is his identity,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",56db423e-8b09-453e-b5fc-61f4da9d7a6f,91a0e468e14b8a8c145614102d6b466732bdae1fdf8041dedbdbea891cb4f916
168,joe-the-plain,joe the plain,plain and simple. no one in town is more gentle that broda joe,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",7a3083bd-5aa2-48b5-a30b-4445cc060f57,6926eaf1000af7a6f91fe29b681223141494e8d8781a58af14156a2f070d3df3
169,wale-sharp-guy,wale sharp guy,wale no de carry last. the thinks and act fast,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",44906ea0-901b-4b3d-802f-f73acc8758f6,11d09a7cd745330d974cc14d56910390706adceaabd881928fbd153525e92e8b
170,dele-the-snoozer,dele the snoozer,"if sleeping were to be a job. dele will be the world busiest man. set a bed in a fury furnace for dele, he'll sleep.",Male,"hair: low cut, eyes: closed, skin color: butter colro, teeth: gapped teeth, clothing: agbada, expression: snoozing, accessories: none, strength: loving, weakness: sleep",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,f95f182b96d7f03ea19736e47807d7b415782feafee524fe6ed0f1aec0cfd597
171,father -of -tolu,father of tolu,baba tolu is a proud father. he will sell his soul just to see tolu excel in life,Male,"hair: none, eyes: black iris, skin color:dark brown, teeth: long front tooth, clothing: ankara, expression: fearfully, accessories: head cap, strength: fatherly, weakness: women",a2651258-ca3f-4940-b095-3a61ff630263,20ee58f4bdc3d43d0514fec3a4f8f4bbc441b2e3220e234de8edbbe4af8f0cbe
172,emeka-the-chief,emeka the chief,chief emeka is the pillar of the community. just and fair to all. the real mazi,Male,"hair: none, eyes: black iris, skin color: dark brown, teeth: full white teeth, clothing: wrapper wrapped around body, expression: smiling, accessories: head cap, strength: leadership, weakness: anger",de25fd63-dafd-4f77-8072-7ac0ae3a3ab2,df6cae2f21242d91ef25247cfc03f71362038a842174d9052514d1a07e6931e8
173,lawal-the-drooler,lawal the drooler,"lawal has only 2 business, alcoholism and alcoholism. it's only normal for him to drool afterll",Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",806b640f-1c8b-4cc0-aa10-45f3ddc00140,c0229e3e3ba0bcdb00171fa61306e23866656eb2be3972094bb753631123d504
174,solo-the-messenger,solo the messenger,"solo is a multitasker. you need anything done in your home, solo is your guy",Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",44906ea0-901b-4b3d-802f-f73acc8758f6,8c207a98c68b7308c26b27c64bd9c4b27a48b590fa18e73d734c8f0bf8240dbe
175,femi-the-honorable,femi the honorable,honorable femi is the modern day politician. everything he does is only to further his political career,Male,"hair: none, eyes: blue iris, skin color: brown, teeth: one missing tooth, clothing: aso oke, expression: happy, accessories: abetiaja cap, strength: public speaking, weakness: money",af53bf52-b517-4347-adc6-07cf30c19025,2edc5c5c7f6719a2386125c6ca5c0c3fdb500af172fc47fc33ac32de24b360ac
176,friday-the-bigsboy,friday the bigsboy,friday always live up to his name. every friday is for the party.,Male,"hair: orange afro, eyes: black iris, skin color: brown, teeth: none, clothing: aso oke, expression: unconcerned, accessories: cigrette in mouth, strength: money in pocket, weakness: sense of responsibility",05ec3aae-7da8-4125-93fb-6fc544e5bc61,0e77fd6543e49154ee7c59c97079eb3d6487600c14cb0d72fc0e51304774bf13
177,kweku-the-planter,kweku the planter,kweku says he did it. kweku dey plant Igbo until he was bursted,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",af53bf52-b517-4347-adc6-07cf30c19025,e55a7cd27ce768e4ea7899eabf544372c4a459d8534104ebb36f06d59074569a
178,2pac-the-remix,2pac the remix,2pac is alive in him. his style is exactly the same. upcoming artist,Male,"hair: none, eyes: blue iris, skin color: brown, teeth: gapped teeth, clothing: Igbo clothing, expression: surprised, accessories: face cap, strength: hardworking, weakness:fear",9993e5ec-2f31-485c-9c6d-f780c078ae56,06b80f0572e735ca39f44f5b6e0a1f41f99fd75a3a70ecf8340551747156c2fb
179,tope-the-influencer,tope the influencer,tope is a famous influencer. loved by his followers which keep growing everyday,Female,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",3b3e1f66-922b-4f87-8cdb-0d09fc143182,c3dcf1d059f98c14947baf6fed9fc6172efa300bb1477f419314a30d8e410513
180,gabby-the-evangelist,gabby the evangelist,"evangelist Gabby, blending gospel with comedy. he's going places",Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",ac721b71-cbc5-425c-851f-ee826973f0b9,e7539acddf68c1e0f0802a0e4a2002e514f1cadf3dee5d4ba3caf0a2653ed76d
,,,,,,,
TEAM CRANKSHAFT,,,,,,,
181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood,Female,,7241a1be-59da-11ed-9b6a-0242ac120002,d86bd68b6c01aa71e2751899265c77a3225255d0e8314b018b27dec4b9fc5bc5
182,lola-babe,lola babe,Looking hot as always,Female,,7241a664-59da-11ed-9b6a-0242ac120002,1df2bcf4a0bcbaeaf460f6ffd735b4872bfd14d83f38a842f6b945fdea673574
183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends,Female,,7241a7c2-59da-11ed-9b6a-0242ac120002,9dd87d8bb1b67c3a3ef3f6537169ef850390f15b9cf7d6ba5e6f1ca97ef9bb60
184,bella-the-baller,bella the baller,Baller for Life,Female,,7241ad26-59da-11ed-9b6a-0242ac120002,c60f7af13aadab26794566790960e918c5596795628cd2b8a2afdb618d6b7a95
185,milly-of-roses,milly of roses,Her lips so red like a rose,Female,,7241af92-59da-11ed-9b6a-0242ac120002,85a0966a3d6fcfe5c7bda613fb5f6f79bdf135f357c54c0374cccac739ea17d9
186,Preciousjada-the-viper,Preciousjada the viper,Her words stings likes a viper,Female,,7241b12c-59da-11ed-9b6a-0242ac120002,ec24b976c89ea7eace99a1cae74a023d52fd38fe42ea525c1a77d416cd42cba9
187,lolly-of-NY,lolly of NY,Most popular in NY,Female,,7241b2ee-59da-11ed-9b6a-0242ac120002,8303e96ef5a12588c4794c19a714c622e37f9d8f820916129e1d85655efa4386
188,Disy-the-dancer,Disy the dancer,Dances her way into any show,Female,,7241b4c4-59da-11ed-9b6a-0242ac120002,a5cd09f8457405dd46c07b8fe5a8a6da8be501b723f9bd23752e2961b6d2dd23
189,Jenny-the-great,Jenny the great,The greatest of our time,Female,,7241b852-59da-11ed-9b6a-0242ac120002,a6bef5694b02272deef83b73c4dfc28f991564de03d4cde9306ee2b6a596e5f5
190,lolly-the-pop,lolly the pop,Seeing lolly makes me pop,Female,,7241ba00-59da-11ed-9b6a-0242ac120002,23ef762504f1d1575024135c3e0a5e5bfe735c3d145f9896f226ce78b96c88af
191,disy-the-queen,disy the queen,The queen in her own space,Female,,7241bda2-59da-11ed-9b6a-0242ac120002,ec9dce2ceeadf89dcd15de9c553531f51dea3f8e56fd59df26ac451af47100f9
192,JennyP-of-Lagos,JennyP of Lagos,A well known celebrity in Lagos,Female,,7241bf1e-59da-11ed-9b6a-0242ac120002,c8b6b7ae399cc77459faed7a3b221b7a9d1716273b5c940a220cfbf03b125e1a
193,Jada-of-life,Jada of life,Her business signature,Female,,7241c202-59da-11ed-9b6a-0242ac120002,d2ccc4db4201fd6fdac4012161982593fc6ba1b07b1fb4cec55e184c2e9c4cea
194,Sandy-the-rapper,Sandy the rapper,She just loves to rap,Female,,7241c342-59da-11ed-9b6a-0242ac120002,a0318f0b2e47eef867b6acb082bc58b77deff8d5bad1b500d8baeba25a6145b6
195,Dahila-the-genius,Dahila the genius,The genius in the family,Female,,7241c4fa-59da-11ed-9b6a-0242ac120002,875d5c44544522b17d1dbdffe2b14697a4852068f38c50af57ce6e605e9403c3
196,Rosemary-of-Yaba,Rosemary of Yaba,She has a cloth store in Yaba,Female,,7241c61c-59da-11ed-9b6a-0242ac120002,6e394e381c4f835bcb9c7c8af540df77b87e91a39c2585af5381d84130e0e1b1
197,Jennifer-of -island,Jennifer of island,She goes on vacation to the island,Female,,7241ca18-59da-11ed-9b6a-0242ac120002,a08d066dbe20f83f9dba84781a875070d81899759c1065ee33c44580121b68cf
198,Opeyemi-of-lekki,Opeyemi of lekki,Opeyemi lives in lekki,Female,,7241c8e2-59da-11ed-9b6a-0242ac120002,f3bbd886be5eb4050ed7e415515cb08225f17e2ba05c02970b22721061b59c4f
199,Vicky-the-artist,Vicky the artist,Brings life into what she draws,Female,,7241cb3a-59da-11ed-9b6a-0242ac120002,277ab513c413170b10b9f6c17a02de508474362c766188e825af3dfaf73491eb
200,Afrogirl-sailor,Afrogirl sailor,She loves to sail the ocean,Female,,7241cc66-59da-11ed-9b6a-0242ac120002,7d791f3ec854b2f909480a32e98749cad1eb9d2154d8663c564ba46af09ab738
,,,,,,,
TEAM GEAR,,,,,,,
201,Ahmed-the-merchant,Ahmed the merchant,A rich merchant that sells in babylon,male,"hair: none, eyes: black, teeth: none, clothing: none, accessories: none, expression: unknown, strength: unknown, weakness: unknown",bfb62844-59ca-11ed-9b6a-0242ac120002,ac285c1354024aa3cf74e22927bc1feb5b4b1671039f82d152d56e071bd54f92
202,Blind-Tonia,Blind Tonia,A girl that lost one of her eyes in a street fight,female,,bfb62c86-59ca-11ed-9b6a-0242ac120002,563d6aa23e2f4096a49aba8c7e842b6ab3be81cb3b9856d49af43ac3dc7171ec
203,Buffy-the-vampire,Buffy the vampire,A vampire diary protagonist that got bitten by a vampire in real life,female,,bfb62e02-59ca-11ed-9b6a-0242ac120002,868f5fa28d389394e9dc2a74c05ad75585295f3e7b6ebf2967993f6149cf743c
204,Caro-lipstick,Caro lipstick,"A girl that puts on lipstick always, even to bed",female,,bfb62f4c-59ca-11ed-9b6a-0242ac120002,8cf2a224d74ceea78dce301844c68414aa57f7ff39660d35194f1f31ff73d3f3
205,Charity-the-maid,Charity the maid,A maid that works for the fun of it,female,,bfb63096-59ca-11ed-9b6a-0242ac120002,9f64b3a9f4e951518b6ab92d28c00214b2944f6accf9a715df2ee7ada8ac9427
206,Charity-with-fakehair,Charity with fakehair,A girl with a bald hair but always wears wig to cover her head,female,,bfb631c2-59ca-11ed-9b6a-0242ac120002,89246cde3c96c4e6b6c4d4cc773d92b45b797bf41259a12e7695a5d535b893be
207,Daniel-the-hustler,Daniel the hustler,A boy that lives in the streets of Lagos hustling everyday to make ends meet,male,,bfb632e4-59ca-11ed-9b6a-0242ac120002,57e17388ca93398ffc625a22cc448bb764b2d389e6f2092e1873e3091ede85af
